Component/s;Component/s;Component/s;Reporter;Status;Issue Type;Issue key;Issue id;Inward issue link (Automation);Inward issue link (Blocker);Inward issue link (Blocker);Inward issue link (Blocker);Outward issue link (Blocker);Inward issue link (Cloners);Outward issue link (Cloners);Inward issue link (Detail);Outward issue link (Detail);Inward issue link (Development);Inward issue link (Duplicate);Outward issue link (Duplicate);Inward issue link (Finish-to-Start Dependency);Inward issue link (Finish-to-Start Dependency);Inward issue link (Finish-to-Start Dependency);Inward issue link (Fix);Outward issue link (Fix);Outward issue link (Implementation);Outward issue link (Links);Inward issue link (Problem/Incident);Outward issue link (Problem/Incident);Outward issue link (Problem/Incident);Inward issue link (Related To);Outward issue link (Related to);Inward issue link (Related);Inward issue link (Related);Outward issue link (Related);Inward issue link (Relates);Inward issue link (Relates);Inward issue link (Relates);Inward issue link (Relates);Inward issue link (Relates);Outward issue link (Relates);Outward issue link (Relates);Outward issue link (Relates);Outward issue link (Relates);Inward issue link (Test);Outward issue link (Test);Outward issue link (Test);Outward issue link (Test);Inward issue link (Validation);Inward issue link (Validation);Outward issue link (Validation);Summary;Sprint;Sprint;Sprint;Created;Custom field (QA ETA);Resolved;Custom field (Alpha Tested);Custom field (Alpha Validated);Custom field (Bug Type);Affects Version/s;Affects Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Custom field (TeamForBI);Custom field (API Name);Assignee;Custom field (Defect Type);TS tickets ID;priority
Integration Services;;;e5580177;Done;Bug;FISCDSOL-16043;8570879;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IS : [EOD Open Trades Extract , Top Day Trades Extract]No records exported when no aliases;2020.01.1.IS;;;26/Dec/19 12:00 AM;;26/Dec/19 12:00 AM;;;;2019.9.7;;2019.9.8;;;;IS;;e5580177;;;Medium
Integration Services;;;e1079484;Done;Bug;FISCDSOL-16166;8571005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TS1313214 Top day Trade Extract : duplicated extract for option processing trades premium option, when premium is extracted;2019.12.1.IS;;;04/Dec/19 12:00 AM;;06/Dec/19 12:00 AM;;;;2019.9.6;;2019.11.1;2019.9.7;;;IS;;e5552652;;;Medium
Integration Services;;;e1075820;Done;Bug;FISCDSOL-13723;8568541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ARC : Bugs regarding amendments in Real Time / Intellimatch Activity Extract;2021.02.2.HFT;;;27/01/2021 00:00;;03/Feb/21 12:00 AM;;;;202010.5.0;;202101.1.0;202102.0.0;;;HFT;;e1078262;;;Medium
Integration Services;;;e1081270;Done;Story;FISCDSOL-46891;8668203;;;;;;;FISCDSOL-49924;;;;;;;;;;;;;;;;;;;;;FISCDSOL-49924;;;;;;;;;;;;;;;;Adjust source system parameter management;2022.04.2.OB#T;;;14/Apr/22 12:00 AM;;20/Apr/22 12:00 AM;;;;202203.0.0;;202203.2.0;202204.0.0;;;OB#T;;e5608259;;;Medium
Integration Services;;;e5557712;Done;Bug;FISCDSOL-49689;8671336;;;;;FISCDSOL-47523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Top Day Trade Extract Job Crash;2022.05.2.OB#T;;;17/May/22 12:00 AM;;20/May/22 12:00 AM;;;;202205.0.0;;202203.4.0;202205.0.0;;;OB#T;;e5608259;;;Medium
Integration Services;;;e5580117;Done;Bug;FISCDSOL-13121;8567935;;;;;;;;;;;;;;;;;;;;;;;;;;;;FISCDSOL-45101;;;;;;;;;;;;;;;;[TS 1936859] Incorrect  alias code of product extract;2021.05.2.STATIC;;;07/May/21 12:00 AM;;18/May/21 12:00 AM;;;;202104.0.1;;202104.2.0;202105.0.0;;;STATIC;;e5585183;;;Medium
Integration Services;;;e5578377;Done;Story;FISCDSOL-4492;8558164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Numeric format changed in extracted files following SQL upgrade - Cargill extracts;2020.03.2.IS;;;29/01/2020 00:00;;06/03/2020 00:00;;;;2019.12.2;;2019.9.13;202002.1.0;202003.0.0;202003.100.0;IS;;e5580177;;;Low
Integration Services;;;e5558834;Done;Bug;FISCDSOL-14817;8569645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GMI Intra Day Activity Extract - commission for deleted Top Day Trades are not extracted;2020.09.1.OB#T;;;03/07/2020 00:00;;02/09/2020 00:00;;;;202004.10.0;202005.5.0;202004.20.0;202009.0.0;202009.100.0;;OB#T;;e5622350;;;Medium
Integration Services;;;E1079740;Done;Story;FISCDSOL-5843;8559663;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[BUILD] CARGILL: Top Day Trade Extract;2019.07.2.IS;;;23/06/2019 00:00;;20/07/2019 00:00;;;;;;;;;;IS;;e5566225;;;High
Integration Services;;;e5555967;Done;Story;FISCDSOL-82726;22329716;;;;;;;FISCDSOL-82197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"[QA only] Extracts validation for BRM Last Round of Manual Testing - Kubernetes Environment ""ps02""";2025.05.1.OB#T;;;07/03/2025 08:58;;25/Apr/25 4:29 AM;;;;;;202503.0.0-BRM;;;;OB#T;;e1079188;;;Low
Integration Services;;;e1081270;Done;Story;FISCDSOL-82197;22228557;;;;;;FISCDSOL-82726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"[QA only] Extracts validation for BRM Last Round of Manual Testing - Kubernetes Environment ""env2""";2025.03.1.OB#T;;;13/Feb/25 10:14 AM;;07/03/2025 09:01;;;;;;;;;;OB#T;;e1079188;;;Medium
Integration Services;VS Data & Integration;;e5556072;Done;Bug;FISCDSOL-81438;21989104;;;;;;FISCDSOL-81501;;;;;;;;;;;;;;;;;;;FISCDSOL-82076;;;;;;;;;;;;;;;;;;;Incorrect trade type and aliases when no source system defined in job parameters (ActivityExtracts, EOD open trades, Top day trades,...);2025.02.1.OB#T;;;16/01/2025 08:24;;04/Feb/25 9:46 AM;;;;202412.0.0-BRM;;202503.0.0-BRM;;;;OB#T;;e1079460;;;Medium
Integration Services;;;e5578377;Done;Bug;FISCDSOL-15978;8570814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Source System should not be mandatory in parameters;2020.01.2.IS;;;06/01/2020 00:00;;10/01/2020 00:00;;;;;;2019.12.1;2019.9.9;2020.011.0;;IS;;e5580177;;;Medium
Integration Services;;;e1081287;Done;Story;FISCDSOL-5425;8559226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CARGILL: Top day trades Export - CSV Format;2019.09.2.IS;;;11/09/2019 00:00;;18/09/2019 00:00;;;;;;2019.8.1;2019.901.0;;;IS;;e5580177;;;Medium
Integration Services;;;e1081270;Done;Story;FISCDSOL-91983;24838916;;;;;;;FISCDSOL-91973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Top Day Trades Extract - Performance enhancement ;2026.03.1.OB#T;;;10/Feb/26 11:27 AM;;09/03/2026 07:27;;;;202603.0.0-BRM;;202603.0.0-BRM;;;;OB#T;;e5675479;;;Lowest
Integration Services;;;e5548683;Done;Story;FISCDSOL-66755;9170950;;;;;;;FISCDSOL-66428;;;;;;;;;;;;;;;;;;;;FISCD-96419;;;;;;;;;;;;;;;;;SPIKE - [Remaining Reports] Check all TC reports and confirm the extent of Pentaho designer used;2023.10.1.TM#IS;;;18/09/2023 07:02;;03/10/2023 08:13;;;;;;202310.0.0;;;;TM#IS;;e5615439;;;Highest
Integration Services;;;e1081270;Done;Story;FISCDSOL-64306;8960557;;;;;;;;;;;;;;;;;;;;;;;;;FISCDSOL-64041;;;;;;;;;;;;;;;;;;;Enhance Master Account filtering - Extracts modification;2023.08.1.OB#T;;;15/06/2023 10:00;;11/Aug/23 12:34 PM;;;;;;202309.0.0;;;;OB#T;;e5675479;;;Low
Integration Services;;;e5556072;Done;Story;FISCDSOL-64304;8960172;;;;;;FISCDSOL-66279;;;;;;;;;;;;;;;;;;;FISCDSOL-65088;;;;;;;;;;;;;;;;;;;[Automation] Implement XML comparison using XMLUnit;2023.07.1.OB#T;;;15/06/2023 08:42;;14/07/2023 04:37;;;;;;202304.4.0;202306.1.0;202307.0.0;;OB#T;;e5617177;;;Medium
Integration Services;;;e1082421;Done;Story;FISCDSOL-47062;8668376;;;;;;;FISCD-67175;;;;;;;;;;;;;;;;;;;;;FISCDSOL-46742;FISCDSOL-47107;FISCD-67135;;;;;;;;;;;;;;FSA: Identify and design Fact tables for IS/RS/RR jobs - Activity;2022.04.2.OB#T;;;29/03/2022 00:00;;22/Apr/22 12:00 AM;;;;;;202204.0.0;;;;OB#T;;e5614398;;;High
Integration Services;;;e5578377;Done;Story;FISCDSOL-4778;8558562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Extracted lines should have the same order on each run of the job in EOD Activity Extract;2020.04.2.IS;;;19/Dec/19 12:00 AM;;03/Apr/20 12:00 AM;;;;;;202003.1.0;202004.0.0;202004.100.0;;IS;;e5580177;;;Low
Integration Services;;;e5556072;Done;Bug;FISCDSOL-67684;9262983;;;;;;;;;;;;;;;;;;;;;;;;;FISCDSOL-66725;;;;;;;;;;;;;;;;;;;IS Extracts - Random management of PENDING commissions when position is partially closed;2023.11.2.OB#T;;;23/10/2023 06:02;;08/11/2023 06:40;;;;;;202306.7.0;202311.0.0;;;OB#T;;e5622350;;;Medium
Integration Services;;;e1072559;Done;Story;FISCDSOL-66179;9102438;;;;;;;;;;;;;;;;;;;;;;;;;;;FISCDSOL-65895;;;;;;;;;;;;;;FISCDSOL-67869;;;[TS 2829832] MEFF - Wrong Execution Date populated for givein claimed;2023.10.2.TM#IS;;;31/Aug/23 2:36 PM;;17/10/2023 10:17;;;;202306.3.0;;202310.0.0;;;;TM#IS;;e5686349;;;High
Integration Services;;;e1079484;Done;Story;FISCDSOL-5261;8559056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Top day trades extract: Add Counterparty account information;2019.10.2.IS;;;10/10/2019 00:00;;18/10/2019 00:00;;;;;;2019.101.0;2019.9.3;;;IS;;e5580177;;;Low
Integration Services;;;e1081452;Done;Story;FISCDSOL-66428;9145027;;;;;;FISCDSOL-66755;;;;;;;;;;;;;;;;;;;;;FISCD-96419;;;;;;;;;;;;;;;;;SPIKE - Check all TC reports and confirm the extent of Pentaho designer used;2023.09.2.TM#IS;;;07/09/2023 05:51;;18/09/2023 07:14;;;;;;202310.0.0;;;;TM#IS;;e5615439;;;Medium
Integration Services;;;e1081287;Done;Story;FISCDSOL-1081;8554707;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TS1737142 Add Exchange filter to Top Day trades extract;2020.12.2.OB#T;;;02/Dec/20 12:00 AM;;16/Dec/20 12:00 AM;;;;;;202011.2.0;202012.0.0;;;OB#T;;e5610339;;;Lowest
Integration Services;;;e5584411;Done;Bug;FISCDSOL-50138;8671788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FISCDSOL-47390;;;FISCD VS CV_AUDIT Reconciliation job is failing with exception polyglot.PolyglotException:;2022.03.1.TM#IS;;;22/Feb/22 12:00 AM;;24/Feb/22 12:00 AM;;;;202202.0.0;;202202.0.0;;;;TM#IS;;e5584411;;;Medium
Integration Services;;;e1081287;Done;Story;FISCDSOL-3831;8557496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cargill - files destined for Cargill must be encrypted using Voltage before being stored on the local disc - 2 of 3;2020.04.2.IS;;;30/03/2020 00:00;;10/Apr/20 12:00 AM;;;;202003.0.0;;202003.2.0;202003.3.0;202004.0.0;;IS;;e5552652;;;Low
Integration Services;;;e5555967;Done;Bug;FISCDSOL-14865;8569695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[development]TS 1566629 MEMF1/FUTTRD - Incorrect PCOMM on T records for some P&S reversal trades;2020.07.2.OB#T;;;25/06/2020 00:00;;07/07/2020 00:00;;;;202004.8.0;;202006.1.0;202007.0.0;202007.100.0;;OB#T;;e5610339;;1234521;Medium
Integration Services;;;e5555967;Done;Bug;FISCDSOL-14822;8569650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[release 202004.10.0 & 202005.5.0] TS 1566629 MEMF1/FUTTRD - Incorrect PCOMM on T records for some P&S reversal trades;;;;03/07/2020 00:00;;03/07/2020 00:00;;;;202004.8.0;;202004.10.0;202005.5.0;;;N/A;;e5610339;;1234522;Medium
Integration Services;VS BRM;VS Data & Integration;e5556072;Done;Bug;FISCDSOL-88873;23590346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Regulatory Category field is missing in several extracts;2025.10.3.OB#T;;;20/10/2025 08:46;;23/10/2025 07:06;;;;202509.0.0-BRM;;202509.0.0-BRM;202512.0.0-BRM;;;OB#T;;e1079460;;1234523;Medium
Integration Services;;;e5556072;Done;Story;FISCDSOL-45875;8667135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FISCDSOL-48089;FISCDSOL-47523;FISCDSOL-49419;FISCDSOL-49472;;;;;;;;Extracts with XML Format - Hide Template parameter and set default value;2022.08.1.OB#T;;;08/07/2022 00:00;;05/Aug/22 12:00 AM;;;;;;202209.0.0;;;;OB#T;;e5608259;;;Medium
Integration Services;;;e5556072;Done;Bug;FISCDSOL-49924;8671574;;FISCDSOL-50813;;;;FISCDSOL-46891;;;;;;;;;;;;;;;;;;;;;;;;;;;FISCDSOL-46891;;;;;;;;;;;General Ledger CSV extract - wrong source system parameter management;2022.04.2.OB#T;;;29/03/2022 00:00;;14/Apr/22 12:00 AM;;;;202203.0.0;;202203.2.0;202204.0.0;;;OB#T;;e5608259;;;Medium
Integration Services;;;e1084409;Done;Story;FISCDSOL-11337;8565355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[ARC] : [DEV] : Fix Same Day Amendment Logic in Real Time Activity Extract;2021.03.2.HFT;;;13/01/2021 00:00;;10/03/2021 00:00;;;;;;202103.0.0;;;;HFT;;e1075606;;;Low
Integration Services;;;e1081270;Done;Story;FISCDSOL-8847;8562826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Use variable multiplier in the Top Day Trades Extract;2021.09.2.OB#T;;;31/Aug/21 12:00 AM;;22/09/2021 00:00;;;;;;202109.0.0;;;;OB#T;;e5617177;;;Medium
Integration Services;;;e1081270;Done;Story;FISCDSOL-47107;8668421;;;;;;FISCDSOL-46811;;;;;;;FISCD-66758;FISCD-67049;FISCD-67135;;;;;;;;;;;;;FISCDSOL-46742;;;;;FISCDSOL-47062;;;;;;;;;;;FSA: Identify and design Fact tables for IS/RS/RR jobs - Activity - Part 2;2022.05.2.OB#T;;;24/03/2022 00:00;;20/May/22 12:00 AM;;;;;;202205.0.0;;;;OB#T;;e5614398;;;Lowest
Integration Services;;;e1081270;Done;Story;FISCDSOL-63187;8851756;;;;;;;FISCDSOL-63079;;;;;;;;;;;;;;;;;;FISCDSOL-63705;;;;;;;;;;;;;;;;FISCDSOL-46025;;;Manage the multiple Value Field aliases (Open Trade, TopDay Extract, Activity Extract);2023.05.2.OB#T;;;08/May/23 8:12 AM;;19/May/23 10:16 AM;;;;;;202307.0.0;;;;OB#T;;e5617177;;;Highest
Integration Services;;;e5555967;Done;Story;FISCDSOL-4644;8558420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GMI Intra-Day Activity Extract MEMF1- add P&S Reversal records;2020.03.1.IS;;;09/01/2020 00:00;;27/Feb/20 12:00 AM;;;;;;2019.12.3;202002.0.0;;;IS;;e5580177;;;Low
Integration Services;;;e1081270;Done;Story;FISCDSOL-88095;23442426;;;;;;FISCDSOL-88121;;;;;FISCDSOL-88077;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Simulation Support in extracts ;2026.04.1.OB#T;;;23/09/2025 05:52;;17/Apr/26 5:36 AM;;;;202603.0.0-BRM;;202606.0.0-BRM;;;;OB#T;;e5675479;;;Medium
Integration Services;;;e5556072;Done;Bug;FISCDSOL-13973;8568793;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Top Day Trades Extract & EOD Activity Extract : Wrong extract of User Defined Values;2020.12.2.OB#T;;;12/Dec/20 12:00 AM;;16/Dec/20 12:00 AM;;;;202011.1.0;;202011.2.0;202012.0.0;;;OB#T;;e5622350;;;Low
Integration Services;;;e1081287;Done;Story;FISCDSOL-3046;8556698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c/f Cargill - Change to Top Day extract re Chinese markets;2020.07.1.OB#P2;2020.07.2.OB#P2;2020.07.3.OB#P2;18/06/2020 00:00;;29/07/2020 00:00;;;;;;202007.1.0;202008.0.0;;;OB#P2;;e5601168;;;Low
Integration Services;;;e5555967;Done;Story;FISCDSOL-2824;8556476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TS 1579787: Bunge - IS - Intelli Trade Extract needs Cancel Records;2020.07.2.OB#T;;;07/07/2020 00:00;;13/07/2020 00:00;;;;;;202004.11.0;202006.1.0;202007.0.0;202007.100.0;OB#T;;e5580177;;;Medium
Integration Services;;;e5555967;Done;Task;FISCDSOL-67940;9312080;;;;;;FISCDSOL-67941;FISCDSOL-67269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[Automation] Top Day Trades Extract : Fix Failing Tests on developement ;2023.11.2.OB#T;;;01/11/2023 05:42;;17/11/2023 04:01;;;;;;202311.0.0;;;;OB#T;;e5715915;;;High
Integration Services;;;e1079484;Done;Story;FISCDSOL-5033;8558821;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TS1313214 Cargill: New Requirements for Top Day Trade Extract;2019.11.2.IS;;;08/11/2019 00:00;;18/11/2019 00:00;;;;;;2019.10.1;2019.111.0;2019.9.6;;IS;;e5580177;;;Low
Integration Services;;;e1081270;Done;Story;FISCDSOL-46025;8667294;;;;;;FISCDSOL-46024;;;;;;;;;;;;FISCDSOL-45995;;;;;;;;;;FISCDSOL-46021;;;;;;;;;;;;;;;FISCDSOL-63187;Top Day Trade Extract- Add new Account attributes + Master Account + Aliases;2023.06.2.OB#T;;;16/06/2022 00:00;;16/06/2023 15:35;;;;;;202307.0.0;;;;OB#T;;e5617177;;;Medium
Data Streaming;Integration Services;;e5555967;Done;Story;FISCDSOL-72083;14014393;;;;;;;FISCDSOL-68397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FISCDSOL-74632;;;;;;;[New Charge Service] Report Charge Category instead of Charge Label / ChargeRateSet for Commission records;2024.07.1.OB#T;;;06/03/2024 07:31;;10/07/2024 07:47;;;;;;202407.0.0;;;;OB#T;;e5675479;;;Lowest
Integration Services;;;e5580117;Done;Bug;FISCDSOL-15592;8570428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GMI Real Time Routing Extract GMIRTGF1 : Wrong extract for PMKVAL,PMVARN (TS 1486034);2020.05.2.OB#T;;;26/Feb/20 12:00 AM;;10/May/20 12:00 AM;;;;2019.12.3;202002.0.0;202004.1.0;202005.0.0;;;OB#T;;e5552652;;;Low
Integration Services;;;e1079484;Done;Bug;FISCDSOL-14340;8569164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TS1687633: FIS IH - Extract filters disappear when the name changes on a selected entity;2020.11.1.OB#T;;;12/10/2020 00:00;;30/10/2020 00:00;;;;202008.3.0;;202008.0.0;202010.1.0;202011.0.0;;OB#T;;e5610339;;;Low
Integration Services;;;e5558834;Done;Bug;FISCDSOL-16791;8571635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[CARGILL] Top Day Trade Extract - extract empty aliases and wrong delimiter for csv format;2019.09.2.IS;;;18/09/2019 00:00;;21/09/2019 00:00;;;;;;2019.901.0;;;;IS;;e5580177;;;Low
Integration Services;;;e5552652;Done;Bug;FISCDSOL-12492;8567298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[ONLY 202105.10] Ticket [2116278] - Bunge - memory / performance issues with FUTTRD and MEMF1 extracts - 202105.6;2021.12.1.OB#T;;;22/10/2021 00:00;;24/11/2021 00:00;;;;202105.6.0;;202105.10.0;;;;OB#T;;e5614398;;;Low
Integration Services;VS BRM;;e1081270;Done;Story;FISCDSOL-90206;23978761;;;;;;;FISCDSOL-68388;;;FISCDSOL-70585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Activity Extracts - Give up trades should be included;2026.03.1.OB#T;;;16/Dec/25 9:27 AM;;11/03/2026 09:28;;;;202603.0.0-BRM;;202603.0.0-BRM;;;;OB#T;;e5622350;;;Low
Integration Services;;;e5614398;Done;Story;FISCDSOL-45776;8667032;;;;;;FISCDSOL-45771;;;;;;;;;;;;;;;FISCDSOL-49366;;;;;;;;;;;;;;;;;;;;;;;TS#2404453 [Cargill] - Cargill - Counterparty Account filter selection window now displays CPA long name rather than the number;2022.08.1.OB#T;;;18/07/2022 00:00;;04/Aug/22 12:00 AM;;;;202203.2.0;;202203.7.0;202208.0.0;;;OB#T;;e5608259;;;Medium
Integration Services;;;e1079484;Done;Story;FISCDSOL-3953;8557619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TS1426236 Cargill: Ability to filter data on Cargill custom extracts ( Part1);2020.05.1.IS;;;16/03/2020 00:00;;17/Apr/20 12:00 AM;;;;2019.9.12;;202003.2.0;202003.3.0;202004.0.0;;IS;;e5585183;;;High
Integration Services;VS BRM;;e1081270;Done;Story;FISCDSOL-69107;9576662;;FISCDSOL-92747;;;;FISCDSOL-69180;FISCDSOL-69104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Top Day Trades Extract - give-up trades management;2026.03.1.OB#T;;;07/Dec/23 5:08 AM;;05/03/2026 01:23;;;;202603.0.0-BRM;;202603.0.0-BRM;;;;OB#T;;e5622350;;;Low
Integration Services;;;e5555967;Done;Bug;FISCDSOL-15609;8570445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GMI Intra-Day Activity Extract BNGMEMF1: Wrong extract for PMKVAL,PMVARN (TS 1486034);2020.06.1.OB#T;;;24/Feb/20 12:00 AM;;11/May/20 12:00 AM;;;;2019.12.3;202002.0.0;202004.1.0;202005.0.0;;;OB#T;;e5580117;;;Low
Integration Services;;;e1079484;Done;Story;FISCDSOL-11068;8565080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"[TS1738700] ""Minimum Last End of market date"" should be added in the ""Business date"" list under job parameter.";2021.02.2.OB#T;;;04/Feb/21 12:00 AM;;12/Feb/21 12:00 AM;;;;;;202011.7.0;202102.0.0;202103.0.0;;OB#T;;e5580177;;;Lowest
Integration Services;;;e1079484;Done;Story;FISCDSOL-11093;8565107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TS1737142 Add Exchange filter to Activity extract;2021.02.2.OB#T;;;03/Feb/21 12:00 AM;;09/Feb/21 12:00 AM;;;;;;202102.0.0;202103.0.0;;;OB#T;;e5614398;;;Highest
Integration Services;;;e1079484;Done;Story;FISCDSOL-2576;8556220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TS1574970 EOD Extracts: The user should be able to filter on account Owner.;2020.08.2.OB#T;;;21/07/2020 00:00;;26/Aug/20 12:00 AM;;;;;;202007.4.0;202008.1.0;202009.0.0;202009.100.0;OB#T;;e5622350;;;Low
Integration Services;;;e1081270;Done;Story;FISCDSOL-47921;8669445;;FISCDSOL-50135;;;;FISCDSOL-47920;;;;;;;;;;;;;;;FISCDSOL-49904;FISCDSOL-49430;;;;;;;;;;;;;;;;;;;;;;Coushbase to DS DB migration : SourceSystem , BusinessUnit , Currency , RegulatoryCategory , AccountOwner , ClearingAccount , CounterParty , ChargeLabelCategory and Country;2022.02.2.OB#T;;;12/01/2022 00:00;;25/Feb/22 12:00 AM;;;;;;202202.0.0;;;;OB#T;;e5608259;;;Medium
Integration Services;;;e5558834;Done;Bug;FISCDSOL-15429;8570265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Top Day Trades Extract - only UDVCode1 is extracted, other UDVCode[i] and UDVValue[i] values are not;2020.04.1.IS;;;23/03/2020 00:00;;24/03/2020 00:00;;;;2019.9.13;;2019.9.13;202002.1.0;202003.0.0;;IS;;e5610339;;;Low
Integration Services;;;e1079484;Done;Story;FISCDSOL-4205;8557874;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;All extract required by Cargill should be available after running simulation.;2020.09.2.OB#T;;;24/Feb/20 12:00 AM;;24/09/2020 00:00;;;;;;202008.2.0;202009.1.0;202010.0.0;;OB#T;;e5585183;;;Low
Integration Services;;;e1081287;Done;Story;FISCDSOL-10673;8564681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RTCF - Brokerage Fees - FIS CD to GMI reconciliation to include Fees MySQL only;2021.12.1.STATIC;;;07/03/2021 00:00;;03/Dec/21 12:00 AM;;;;;;202112.0.0;;;;STATIC;;e5614357;;;Medium
Integration Services;;;e5566957;Done;Bug;FISCDSOL-13367;8568182;;;;;;;;;;;;FISCDSOL-13443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[TS 1874230] Barclays FISCD APAC 4MS- Execution Time Issue on re-allocation (T+n) (CRITICAL);2021.04.1.TM#IS;;;18/03/2021 00:00;;23/03/2021 00:00;;;;202012.5.0;;202104.0.0;;;;TM#IS;;e1077269;;;Low
Integration Services;;;e5567141;Done;Bug;FISCDSOL-15461;8570297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TS1441494 Cargill: EOD Activity Extract Premium Not Being Prorated on P&S Records;2020.04.1.IS;;;09/03/2020 00:00;;25/03/2020 00:00;;;;2019.9.12;;2019.9.13;202002.1.0;202003.0.0;;IS;;e5552652;;;Low
Integration Services;;;e1082606;Done;Story;FISCDSOL-3545;8557206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HFT : [Grooming] Generate Financial Totals extract for GMI from Trades and Offset Records;2020.07.1.HFT;;;01/May/20 12:00 AM;;03/07/2020 00:00;;;;;;202007.0.0;;;;HFT;;e1073340;;;Medium
Integration Services;;;e1079737;Done;Story;FISCDSOL-3321;8556976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HFT: DEV: FISCD generates balance extract for GMI for Equity Options;2020.08.1.HFT;;;19/May/20 12:00 AM;;06/Aug/20 12:00 AM;;;;;;202010.0.0;;;;HFT;;e1075606;;;Lowest
Integration Services;;;e1082606;Done;Story;FISCDSOL-3040;8556692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HFT : DEV : Generate Financial Totals extract for GMI from Trades and Offset Records (Phase 1) - Futures and Futures options;2020.07.2.HFT;;;18/06/2020 00:00;;17/07/2020 00:00;;;;;;202007.0.0;;;;HFT;;e1073340;;;Highest
